AcresBurned,AirTankers,ArchiveYear,Counties,CountyIds,CrewsInvolved,Dozers,Engines,Extinguished,Days Burned,Fatalities,Featured,Final,Helicopters,Injuries,Latitude,Longitude,MajorIncident,Name,PersonnelInvolved,Started,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,UniqueId,WaterTenders,Started Month
170.0,,2017,San Bernardino,36,,,,1/9/18,170,,False,True,,,34.412040000000005,-117.03031000000001,True,High Fire,,7/23/17,,,,,1d8a8aaf-f294-46e1-8224-6ea3e8c39634,,7
150.0,,2017,Butte,4,,,,1/9/18,92,,False,True,,,39.746790000000004,-121.67261,True,Honey Fire,13.0,10/9/17,,,,,579d5d2a-0e51-4058-92c7-37abd7fe4aad,,10
150.0,,2017,San Luis Obispo,40,,,,1/9/18,169,,False,True,,,35.7751,-120.23656000000001,True,Olive Fire,,7/24/17,,,,,907cd7cd-cc26-4529-a9f8-cee1e1560086,,7
146.0,,2017,Mendocino,23,,,,1/9/18,112,,False,True,,3.0,39.02482,-123.1362,True,Grape Fire,,9/19/17,,,,,efa1dc61-85e3-4fb6-b6f6-04c3845d9ca6,,9
140.0,,2017,El Dorado,9,,,,1/9/18,167,,False,True,,,38.559707,-120.70013,True,Ranch Fire,,7/26/17,,,,,2fd950a8-fadb-467c-ab59-88e7ea007738,,7
136.0,,2017,El Dorado,9,,,,1/9/18,114,,False,True,,,38.5758,-120.915,True,French Fire,,9/17/17,,,,,f7a51800-b219-428c-aef0-ee5fa5de4d64,,9
135.0,,2017,Tulare,54,10.0,,20.0,1/9/18,210,,False,True,1.0,2.0,35.8556,-118.74542,True,King Fire,212.0,6/13/17,,,,,5f0c7697-7be3-49af-b98c-f5789e3ca6f9,2.0,6
130.0,,2017,Calaveras,5,,,,1/9/18,92,,False,True,,,38.40234,-120.52953000000001,True,Point Fire,,10/9/17,,4.0,,,f30518d1-83ef-440c-8058-d4189bfedab7,,10
130.0,,2017,San Diego,37,10.0,3.0,20.0,1/9/18,130,,False,True,2.0,,32.6001,-116.76997,True,Border Fire,220.0,9/1/17,,,,,10a447c8-708f-44a3-8679-251500c761d6,7.0,9
117.0,,2017,Calaveras,5,,,,1/9/18,176,,False,True,,,38.291129999999995,-120.62177,True,Maria Fire,,7/17/17,,,,,2f9f1bf9-6188-46a2-b91f-f212cdd21528,,7
114.0,,2017,Napa,28,1.0,,5.0,1/9/18,151,,False,True,,,38.493359999999996,-122.2483,True,Canyon Fire,55.0,8/11/17,,,,,4b885d8c-8951-46c5-a3d1-520cfd0ac964,,8
100.0,,2017,Sonoma,49,,,,4/5/18,173,,False,True,,,38.46123,-122.58152,True,Oakmont Fire (Central LNU Complex),,10/14/17,,,,,3f481060-1106-4857-8ac3-374a68763922,,10
92.0,,2017,Riverside,33,,,,1/9/18,155,,False,True,,,33.57139,-116.8247,True,Reed Fire,,8/7/17,,,,,ab009bd1-6784-4fda-a931-532520742a8b,,8
91.0,,2017,Fresno,10,,,,1/9/18,188,,False,True,,,36.95104,-119.65621000000002,True,Auberry Fire,,7/5/17,,5.0,,,89f34aa8-eaf3-4d19-8ef0-005102e82831,,7
87.0,,2017,Lake,17,,,,1/9/18,95,,False,True,,,39.15016,-122.57600000000001,True,Ridge Fire,,10/6/17,,,,,2049dbb6-1a87-4d9d-abde-092d35072934,,10
76.0,,2017,Nevada,29,,,,2/9/18,123,,False,True,,,39.19325,-121.08406000000001,True,McCourtney Fire (Wind Complex),,10/9/17,2.0,13.0,,,9a2b8ac1-41f4-4f98-a4e1-9b5ddee37251,,10
74.0,,2017,El Dorado,9,2.0,,5.0,1/9/18,185,,False,True,,,38.7803,-120.97111000000001,True,Axel Fire,,7/8/17,,,,,f75027cb-2526-4524-989f-71d0d56353ec,1.0,7
70.0,,2017,Colusa,6,4.0,4.0,10.0,1/9/18,176,,False,True,2.0,,39.012240000000006,-122.20127,True,Sand Fire,76.0,7/17/17,,,,,0726d9f7-2baa-4652-b1d6-cbab45783f64,3.0,7
62.0,,2017,Lake,17,,,,1/9/18,154,,False,True,,,38.94599,-122.81135,True,Bottle Fire,,8/8/17,,,,,21714c67-dc5a-4d86-8794-79d85f87b71b,,8
59.0,,2017,Calaveras,5,,,,1/9/18,181,,False,True,,,38.18303,-120.85322,True,Quail Fire,,7/12/17,,,,,6f9581fa-7c8a-45d1-988d-0a299fc15d62,,7
58.0,,2017,Fresno,10,,,,1/9/18,90,,False,True,,,36.7528,-119.2288,True,Silver Fire,,10/11/17,,3.0,,,46d1ec10-be8e-474a-b98f-ba7cd3521ccd,,10
55.0,,2017,Solano,48,,,,1/9/18,108,,False,True,,,38.4446,-122.0041,True,Estate Fire,,9/23/17,1.0,2.0,,,c9009967-c0c1-47d3-b2eb-47b2d7a5da0e,,9
50.0,,2017,San Mateo,41,4.0,,5.0,1/9/18,120,,False,True,,,37.41591,-122.3001,True,Skeggs Fire,85.0,9/11/17,,,,,81b26bc7-7d65-4591-9d27-4e698cab4f12,,9
46.0,,2017,Siskiyou,47,,,,1/9/18,217,,False,True,,,41.8721,-122.4571,True,Whitepine Fire,,6/6/17,,,,,f8b61fab-bd14-4e92-960a-d512693ea8e5,,6
39.0,,2017,Yuba,58,,,,1/9/18,169,,False,True,,,39.065220000000004,-121.3519,True,Spenceville Fire,,7/24/17,,5.0,,,ebcee501-5709-4382-8eab-d8595ba6606d,,7
32.0,,2017,Monterey,27,,,,1/9/18,207,,False,True,,,35.90092,-120.93371,True,Shore Fire,,6/16/17,,,,,7cae5704-9ba2-487c-a48b-bb440c95da6e,,6
27.0,,2017,Modoc,25,,,,1/9/18,132,,False,True,,,41.644690000000004,-120.31813999999999,True,4-10 Fire,,8/30/17,,,,,182f71e9-0f85-4cb0-8711-ee14c0b6b8f8,,8
22.0,,2017,Napa,28,4.0,2.0,6.0,1/9/18,210,,False,True,,,38.68347,-122.2654,True,Refuge Fire,80.0,6/13/17,,,,,7d9de7fd-f95d-4edb-bda6-804b734eedc8,,6
20.0,,2017,Humboldt,12,,,,1/9/18,93,,False,True,,,40.88516,-123.96843999999999,True,Blue Fire,,10/8/17,,,,,e2c1718a-40e5-4139-a379-011c77f021bd,,10
20.0,,2017,Mendocino,23,,,,1/9/18,176,,False,True,,,39.13207,-123.10226999999999,True,Range Fire,,7/17/17,,,,,7f742021-ea49-4de5-89a2-f5b9d05d6bbb,,7
19.0,,2017,Siskiyou,47,,,,1/9/18,197,,False,True,,,40.703775,-122.64507900000001,True,King Fire,,6/26/17,,,,,91d07ea9-cf5f-489c-aa4f-97fa6c0fb8a4,,6
17.0,,2017,Shasta,45,1.0,,2.0,1/9/18,145,,False,True,,,40.92602,-121.5935,True,Corner Fire,20.0,8/17/17,,,,,1b49e4e3-7506-4bf4-b86f-fd3ca93fd85b,,8
17.0,,2017,Monterey,27,,,,1/9/18,237,,False,True,,,36.2771,-120.94328,True,Lonoak Fire,,5/17/17,,,,,2d12b95c-3f4e-41bc-a771-8ae2cb80b99e,,5
10.0,,2017,Shasta,45,,,,1/9/18,178,,False,True,,,40.48972,-122.38618999999998,True,North Fire,,7/15/17,,,,,2ec4e814-477b-47e7-a36b-4da26f94e277,,7
10.0,,2017,Butte,4,,,,1/9/18,181,,False,True,,,39.50475,-121.33785,True,Rebie Fire,,7/12/17,,,,,1be14ce2-5e9c-4cc2-89bf-f36cb1d1ccbd,,7
0.0,,2017,Sonoma,49,,,,1/9/18,92,,False,True,,,38.36685,-122.64001,True,Pressley Fire (Central LNU Complex),,10/9/17,,,,,15b21d31-eadf-47bb-a030-20c531b3077b,,10
0.0,,2017,Napa,28,,,,1/9/18,93,,False,True,,,38.318020000000004,-122.39052,True,Partrick Fire (Central LNU Complex),,10/8/17,,,,,36d55b1a-a2f4-4f40-b57c-48341bb2ace5,,10
0.0,,2017,Butte,4,,,,1/9/18,336,,False,True,,,39.51158,-121.55633,True,Oroville Spillway ,596.0,2/7/17,,,,,afb8c00c-ef91-4544-90ce-54722be124af,,2
410203.0,,2018,Colusa,6;11;17;23,,,,1/4/19,161,1.0,False,True,,3.0,39.243283,-123.10336699999999,True,Ranch Fire (Mendocino Complex),,7/27/18,,246.0,,1050.0,90b0daf7-5d84-42d9-bb35-bb78d4faf950,,7
410203.0,,2018,Glenn,6;11;17;23,,,,1/4/19,161,1.0,False,True,,3.0,39.243283,-123.10336699999999,True,Ranch Fire (Mendocino Complex),,7/27/18,,246.0,,1050.0,90b0daf7-5d84-42d9-bb35-bb78d4faf950,,7
410203.0,,2018,Lake,6;11;17;23,,,,1/4/19,161,1.0,False,True,,3.0,39.243283,-123.10336699999999,True,Ranch Fire (Mendocino Complex),,7/27/18,,246.0,,1050.0,90b0daf7-5d84-42d9-bb35-bb78d4faf950,,7
410203.0,,2018,Mendocino,6;11;17;23,,,,1/4/19,161,1.0,False,True,,3.0,39.243283,-123.10336699999999,True,Ranch Fire (Mendocino Complex),,7/27/18,,246.0,,1050.0,90b0daf7-5d84-42d9-bb35-bb78d4faf950,,7
229651.0,,2018,Shasta,45;53,5.0,48.0,11.0,1/4/19,165,3.0,False,True,,0.0,40.65428,-122.62357,True,Carr Fire,456.0,7/23/18,61.0,1614.0,,,240b1f55-0f4e-448d-a4ce-3ecfec7a6c9d,31.0,7
229651.0,,2018,Trinity,45;53,5.0,48.0,11.0,1/4/19,165,3.0,False,True,,0.0,40.65428,-122.62357,True,Carr Fire,456.0,7/23/18,61.0,1614.0,,,240b1f55-0f4e-448d-a4ce-3ecfec7a6c9d,31.0,7
153336.0,,2018,Butte,4,11.0,3.0,73.0,11/25/18,17,85.0,False,True,2.0,3.0,39.8134,-121.4347,True,Camp Fire,1065.0,11/8/18,,18804.0,,,75dafe80-f18a-4a4a-9a37-4b564c5f6014,3.0,11
96949.0,,2018,Los Angeles,19;56,,,,1/4/19,57,3.0,False,True,,0.0,34.235,-118.70128000000001,True,Woolsey Fire,,11/8/18,341.0,1643.0,,,92d7aeea-7abf-47a4-bf76-a4fe0fac65c6,,11
96949.0,,2018,Ventura,19;56,,,,1/4/19,57,3.0,False,True,,0.0,34.235,-118.70128000000001,True,Woolsey Fire,,11/8/18,341.0,1643.0,,,92d7aeea-7abf-47a4-bf76-a4fe0fac65c6,,11
90288.0,,2018,Napa,28;57,,,,1/4/19,188,,False,True,,1.0,38.80583,-122.18183,True,County Fire,,6/30/18,,29.0,,,97ff14e8-6d08-4214-ad3b-847fa3a0e84a,,6
90288.0,,2018,Yolo,28;57,,,,1/4/19,188,,False,True,,1.0,38.80583,-122.18183,True,County Fire,,6/30/18,,29.0,,,97ff14e8-6d08-4214-ad3b-847fa3a0e84a,,6
48920.0,,2018,Colusa,6;17;23,58.0,76.0,256.0,1/4/19,161,,False,True,20.0,,39.04786,-123.11971000000001,True,River Fire (Mendocino Complex),3100.0,7/27/18,,35.0,,1025.0,af30fe23-6cfd-4fd6-b2d9-91648eeae814,79.0,7
48920.0,,2018,Lake,6;17;23,58.0,76.0,256.0,1/4/19,161,,False,True,20.0,,39.04786,-123.11971000000001,True,River Fire (Mendocino Complex),3100.0,7/27/18,,35.0,,1025.0,af30fe23-6cfd-4fd6-b2d9-91648eeae814,79.0,7
48920.0,,2018,Mendocino,6;17;23,58.0,76.0,256.0,1/4/19,161,,False,True,20.0,,39.04786,-123.11971000000001,True,River Fire (Mendocino Complex),3100.0,7/27/18,,35.0,,1025.0,af30fe23-6cfd-4fd6-b2d9-91648eeae814,79.0,7
46150.0,,2018,Shasta,45,,,,1/4/19,148,,False,True,,,40.896,-122.219,True,Hirz Fire,,8/9/18,,,,,cb647b06-1772-4d65-8087-0b841fcfb502,,8
38008.0,,2018,Siskiyou,47,6.0,4.0,12.0,1/4/19,183,1.0,False,True,2.0,3.0,41.893332,-122.534655,True,Klamathon Fire,350.0,7/5/18,12.0,83.0,,,d7e7eaca-5716-48b3-bd34-37acea282634,4.0,7
15185.0,,2018,Lake,17,,,,1/4/19,195,,False,True,,1.0,39.0674,-122.59848000000001,True,Pawnee Fire,,6/23/18,,22.0,,,25574325-cf1d-4191-bc3d-c50ed0a15f9c,,6
4531.0,,2018,Ventura,56,,,,1/4/19,57,,False,True,,,34.22685,-118.93444,True,Hill Fire,,11/8/18,4.0,4.0,,,bc95da49-28a0-4e56-88d9-72e7455063c0,,11
3889.0,,2018,Tehama,52,,,,1/4/19,89,,False,True,,,40.22027778,-122.18,True,Sun Fire,196.0,10/7/18,,,,,8f633ae7-b5f0-455f-a60e-13d9566e5844,,10
3716.0,,2018,Tehama,52,,,,1/4/19,195,,False,True,,1.0,40.35068,-121.77866999999999,True,Lane Fire,,6/23/18,,,,,299d84d9-ff65-4669-bcd7-cb5abb191c75,,6
2956.0,,2018,Tehama,52,,,,1/4/19,209,,False,True,,,39.94355,-122.3571,True,Apple Fire,,6/9/18,,5.0,,,22fc8e84-ae8e-4a10-a9f3-828464616253,,6
2883.0,,2018,Inyo,14,20.0,3.0,22.0,1/4/19,180,,False,True,7.0,,36.6734,-118.21881,True,Georges Fire,564.0,7/8/18,,,,,09395db0-1c76-43c3-a3db-d18081b31a35,4.0,7
2490.0,,2018,Napa,28,,,,1/4/19,118,,False,True,,,38.69601,-122.44468,True,Snell Fire,,9/8/18,,,,,db2344ac-f195-4f94-8999-e8c8ebb4a7a2,,9
2290.0,,2018,Glenn,11,,,,1/4/19,209,,False,True,,,39.64978,-122.58218000000001,True,Chrome Fire,,6/9/18,,1.0,,,1d926fc4-0f23-47dd-a750-5e7fac4ad416,,6
2162.0,,2018,Solano,48,4.0,2.0,11.0,1/4/19,147,,False,True,1.0,,38.431278000000006,-122.043747,True,Nelson Fire,180.0,8/10/18,,1.0,,10.0,2ce8de99-7e66-4de8-9426-48a4fc8500ac,4.0,8
2070.0,,2018,Inyo,14,,,,1/3/19,319,,False,True,,,37.40208,-118.50235,True,Pleasant Fire,,2/18/18,,,,,3d866877-330a-4a14-b5bd-48675955af64,,2
1900.0,,2018,Shasta,45,,,,1/4/19,148,,False,True,,,40.99344,-121.52225,True,Hat Fire,,8/9/18,,,,,ce93c72c-eb9c-4176-a2b6-7750a4a6bb20,,8
1678.0,,2018,Shasta,45,,,,1/4/19,194,,False,True,,1.0,40.50318,-122.42308,True,Creek Fire,,6/24/18,,11.0,,,b900fe52-8900-4578-9745-58036920a1ab,,6
1350.0,,2018,San Bernardino,36,,,,1/4/19,182,,False,True,,,34.095568,-116.95880600000001,True,Valley Fire,,7/6/18,,,,,b90be7b6-e9ec-4a18-a910-957f700c6ed6,,7
1314.0,,2018,San Benito,35,,,,1/4/19,214,,False,True,,,36.40755,-120.99322,True,Airline Fire,,6/4/18,,,,,df2538f9-20c9-4d40-9a64-9d6334b6f7d6,,6
1265.0,,2018,Inyo,14,12.0,1.0,17.0,1/3/19,259,,False,True,2.0,,36.71537,-118.08448999999999,True,Moffat Fire,325.0,4/19/18,,,,,a339b368-ec58-463e-9a26-9af37c938f49,1.0,4
1120.0,,2018,Placer,31,,,,1/4/19,123,,False,True,,,39.268611,-120.65833300000001,True,North Fire,,9/3/18,,,,,d8235a76-7b43-4e23-8f60-dc308c250fab,,9
962.0,,2018,Butte,4,,,,1/4/19,176,,False,True,,,39.77124,-121.76858999999999,True,Stoney Fire,,7/12/18,,,,,3c17be70-66f8-4df2-97be-873fe924d99c,,7
825.0,,2018,Amador,3,4.0,2.0,15.0,1/4/19,182,,False,True,1.0,,38.42623,-120.95408,True,Irish Fire,,7/6/18,,1.0,,,be804253-e994-4f40-9e07-5c215533231c,4.0,7
640.0,,2018,Alameda,1,,,,1/4/19,180,,False,True,,,37.75646,-121.60646000000001,True,Grant Fire,,7/8/18,,,,,d0e1cdc0-9dea-467a-8ae8-040e0f94178d,,7
513.0,,2018,San Benito,35,,,,1/4/19,214,,False,True,,,36.378333000000005,-120.90116699999999,True,Eastern Fire,,6/4/18,,,,,5228fabc-64f6-4ccf-aedc-dc1e781277a6,,6
504.0,,2018,San Diego,37,,,,1/4/19,182,,False,True,,,32.833674,-116.7311,True,West Fire,,7/6/18,,48.0,,,2a1c14d1-2a88-4564-bd09-585e09ffc9a7,,7
365.0,,2018,San Diego,37,,,,1/4/19,161,,False,True,,,33.078920000000004,-116.91845,True,Pasqual Fire,,7/27/18,,,,,2b56b06d-46d6-43f2-b474-2598dd163e82,,7
360.0,,2018,Madera,20,,,,1/4/19,104,,False,True,,,37.387890000000006,-119.68911999999999,True,Oak Fire,,9/22/18,,,,,6b6dff76-8fab-4852-a71c-e735f87bd6fa,,9
320.0,,2018,Santa Clara,43,1.0,,5.0,1/4/19,166,,False,True,,,37.449425,-121.88807,True,Country Fire,150.0,7/22/18,,1.0,,,0dd9bca6-35b9-4a75-8f3b-a5e57e1b90e7,,7
300.0,,2018,Trinity,53,,,,1/4/19,190,,False,True,,,40.60402,-122.9144,True,Flat Fire,,6/28/18,,,,,70ff3ebc-0d1f-43eb-ab56-1ff13fe9c9e3,,6
268.0,,2018,Tehama,52,,,,1/4/19,195,,False,True,,,40.18395,-122.27573999999998,True,Stoll Fire,,6/23/18,,24.0,,,72999057-198b-4cd2-a316-2e854ef9a7f8,,6
265.0,,2018,San Diego,37,,,,1/4/19,212,,False,True,,1.0,32.63046,-116.46673999999999,True,Recycle Fire,,6/6/18,,,,,9ededdf0-b250-49ec-999d-eb988dab08a9,,6
247.0,,2018,Contra Costa,7,,,,1/4/19,163,,False,True,,1.0,37.89612,-121.85847,True,Marsh Fire,,7/25/18,,1.0,,,df681456-a50e-4400-a95a-77533a0978ba,,7
224.0,,2018,Siskiyou,47,,,,1/4/19,173,,False,True,,,41.70877,-122.47293,True,Steamboat Fire,,7/15/18,,,,,052acbfd-0552-47ac-8be7-6f79b4aecf0e,,7
207.0,,2018,San Diego,37,,,,1/4/19,160,,False,True,,,33.41476,-117.24043999999999,True,Rock Fire,,7/28/18,,,,,e3406861-3e7f-4a4b-b16d-6004f3edc5e6,,7
167.0,,2018,Lassen,18,,,,1/4/19,164,,False,True,,1.0,40.34822,-120.82497,True,Roxie Fire (Formerly 1-1 Fire),,7/24/18,,,,,a18ed51c-1083-4f48-ab1b-6ae0c5454073,,7
163.0,,2018,Tuolumne,55,,,,1/4/19,194,,False,True,,,37.80785,-120.30187,True,Flat Fire,,6/24/18,,,,,28d55249-7c63-4213-a7b4-c0796dbb18ca,,6
152.0,,2018,Marin,21,,,,1/4/19,116,,False,True,,,38.02447,-122.727,True,Irving Fire,,9/10/18,,,,,65689d5f-910c-4e00-9bf3-e5626cd1361c,,9
150.0,,2018,El Dorado,9,12.0,1.0,30.0,1/4/19,122,,False,True,2.0,,38.94388,-120.92611000000001,True,Sliger Fire,,9/4/18,,,,,94e0a869-04f6-4265-9c1f-c53fbdde98ad,5.0,9
135.0,,2018,Napa,28,,,,1/4/19,160,,False,True,,,38.51943,-122.18353,True,Steele Fire,,7/28/18,4.0,8.0,,,2410754e-b988-4f4f-b7ee-21f954c2bbf2,,7
115.0,,2018,Mariposa,22,,,,1/4/19,200,,False,True,,,37.707234,-120.19916200000002,True,Wheeler Fire,,6/18/18,,,,,8f98a50c-fac6-4dcd-844f-76c49891f0f6,,6
113.0,,2018,Santa Barbara,42,,,,1/4/19,182,,False,True,,,34.463889,-119.83138899999999,True,Holiday Fire,,7/6/18,,24.0,,,76725105-a814-4e8d-bd5b-d0f2f1879dae,,7
80.0,,2018,Calaveras,5,,,,1/4/19,194,,False,True,,,37.95766,-120.68902,True,Horse Fire,,6/24/18,,2.0,,,f2d02439-f682-47e7-b6e9-6e51ca068c86,,6
76.0,,2018,Shasta,45,,,,1/4/19,98,,False,True,,,40.5939,-122.17173000000001,True,Silver Fire,,9/28/18,,1.0,,,b181e69a-5864-44c1-b5b4-f4c5832a4539,,9
75.0,,2018,Colusa,6,,,,1/4/19,184,,False,True,,,39.2976,-122.51201200000001,True,Stony Fire,,7/4/18,,,,,b4377461-c17b-41b1-8dc2-9722f8ead519,,7
67.0,,2018,El Dorado,9,,,1.0,1/4/19,156,,False,True,,,38.645,-120.87416699999999,True,Bumper Fire,,8/1/18,,,,,d8de1c4a-9b2c-46ad-aab4-3b2012571e4a,,8
66.0,,2018,El Dorado,9,,,1.0,1/4/19,156,,False,True,,,38.82128,-121.03918,True,Omega Fire,,8/1/18,3.0,1.0,,,6e4ecf7a-2864-4fc6-85cb-9b2a0ac324df,,8
63.0,,2018,Shasta,45,4.0,,7.0,1/4/19,168,,False,True,,,40.741186,-122.649626,True,Highland Fire,98.0,7/20/18,,,,,9626db35-9c2a-4431-8c91-00e0bba794fa,4.0,7
56.0,,2018,Madera,20,,,,1/4/19,226,,False,True,,,37.0979,-119.75307,True,Experimental Fire,,5/23/18,,,,,f163aa10-1dd9-4fd0-9e5b-fda78ef5bcc6,,5
53.0,,2018,San Bernardino,36,,,,1/4/19,100,,False,True,,,34.24138,-117.42431,True,Keenbrook Fire,,9/26/18,,,,,2c41731e-1e13-494c-b7f7-928b89bb7d32,,9
53.0,,2018,Mariposa,22,,,,1/4/19,203,,False,True,,,37.47677,-119.84298999999999,True,Boyer Fire,,6/15/18,,1.0,,,42bd7e44-5bfa-4e25-961d-941a18bc00d0,,6
51.0,,2018,Shasta,45,7.0,,24.0,1/4/19,164,,False,True,,,40.824,-121.90215,True,Crestline Fire,192.0,7/24/18,,,,,2fdf2c14-77b4-458c-96fc-bd883dec3ad3,6.0,7
50.0,,2018,Lake,17,,,,1/4/19,167,,False,True,,,38.91152,-122.86854,True,Carder Fire,,7/21/18,,1.0,,,d7745759-07bd-40a7-a66c-003b174851b2,,7
43.0,,2018,Butte,4,9.0,2.0,12.0,1/4/19,169,,False,True,,2.0,39.57202,-121.43131000000001,True,Simmons Fire,168.0,7/19/18,,,,,d56aeb11-09a3-4854-b422-9a1e41f18a51,4.0,7
33.0,,2018,Butte,4,4.0,2.0,5.0,1/4/19,102,,False,True,,,39.84151,-121.62168,True,Nimshew Fire,83.0,9/24/18,,,,,9856efb8-4d41-4276-9d4e-a5b29d912996,4.0,9
24.0,,2018,Lake,17,,,,1/4/19,123,,False,True,,,38.918420000000005,-122.85276,True,Kelsey Fire,,9/3/18,,,,,1a3ccacd-e743-4a0b-97ab-4d99a133654e,,9
17.0,,2018,Santa Cruz,44,,,,1/4/19,62,,False,True,,,37.0125,-122.046,True,Rincon Fire,,11/3/18,,,,,7d1f523d-6940-4b64-bc5a-7ecb5a63538a,,11
15.0,,2018,Riverside,33,2.0,1.0,18.0,1/3/19,263,,False,True,1.0,,33.711263,-116.16405800000001,True,Tyler Fire,105.0,4/15/18,,,,,8b34406c-93b7-4a40-a832-2fc525876e59,2.0,4
13.0,,2018,San Diego,37,3.0,,10.0,1/4/19,168,,False,True,4.0,,33.04898,-116.78928,True,Cinnamon Fire,80.0,7/20/18,1.0,0.0,,,05fb81ea-7e85-4d0d-9587-64c907a45561,4.0,7
12.0,,2018,El Dorado,9,,,,1/4/19,106,,False,True,,,38.7448,-120.65671999999999,True,Meyers Fire,,9/20/18,,4.0,,,9ea41d38-ee7c-4394-9ea8-cbf33e788f13,,9
0.0,,2018,Butte,4,,,,1/4/19,36,,False,True,,,39.71217,-121.77385,True,Honey Flooding,,11/29/18,,,,,e6b8af54-15fb-42bb-8be9-f323c9d5cc78,,11
0.0,,2018,Santa Barbara,42;56,,,,1/3/19,359,,False,True,,,0.0,0.0,True,Montecito Flooding / Mudflows,,1/9/18,,,,,23cbd274-ded3-43ea-9174-b5615eac3244,,1
0.0,,2018,Ventura,42;56,,,,1/3/19,359,,False,True,,,0.0,0.0,True,Montecito Flooding / Mudflows,,1/9/18,,,,,23cbd274-ded3-43ea-9174-b5615eac3244,,1
1011.0,,2019,Riverside,33,10.0,,17.0,,-43748,2.0,True,True,1.0,,33.9925,-117.05916699999999,True,Sandalwood Fire,247.0,10/10/19,16.0,74.0,,,7ff84b11-c3fb-4f5c-8a00-07243d4a4e33,1.0,10
494.0,,2019,Riverside,33,5.0,2.0,14.0,11/2/19,3,,True,True,,,34.01778,-117.4625,True,Hill Fire ,126.0,10/30/19,,,,,8f23653c-1a4c-4609-bfb3-72b1665eab69,1.0,10
37.0,2.0,2019,San Diego,37,4.0,2.0,10.0,10/27/19,2,,True,True,4.0,,33.259861,-117.02733300000001,True,Miller Fire,100.0,10/25/19,1.0,3.0,,,7ff229e4-be94-4319-8916-19eb43753843,2.0,10
25.0,,2019,San Diego,37,,,,7/18/19,1,,True,True,,,32.794768,-116.839743,True,Vista Fire,,7/17/19,,,,,06fa2750-afea-4f88-b1c4-48b9bc21f4eb,,7
77758.0,,2019,Sonoma,49,2.0,0.0,5.0,11/6/19,14,,False,True,0.0,4.0,38.792458,-122.78005300000001,True,Kincade Fire,55.0,10/23/19,60.0,374.0,,0.0,809d101c-8aa3-4a53-bf20-f38ae7ec7941,2.0,10
10296.0,,2019,Inyo,14,8.0,1.0,8.0,11/21/19,76,,False,True,5.0,,37.034,-118.345,True,Taboose Fire,269.0,9/6/19,,,,,e7ea56c5-4290-4406-b0a5-c9d1718e9700,4.0,9
9999.0,,2019,Ventura,56,17.0,,45.0,11/6/19,6,,False,True,,,34.302212,-118.997115,True,Maria Fire ,626.0,10/31/19,,4.0,,,31852a71-e639-496f-9e7d-0968d1c218b3,3.0,10
8838.0,3.0,2019,Tehama,52,53.0,27.0,98.0,9/13/19,8,,False,True,20.0,,40.12,-122.64,True,Red Bank Fire,1936.0,9/5/19,,2.0,,,14ad161c-bfc6-41ae-af84-a464084a4142,23.0,9
8799.0,,2019,Los Angeles,19,,,,10/31/19,21,1.0,False,True,,8.0,34.329879999999996,-118.48161,True,Saddle Ridge Fire,206.0,10/10/19,88.0,19.0,,,c52717d6-0297-4c5b-a0f1-f17abcd7ac27,,10
5563.0,,2019,Mariposa,22,,,,,-43744,,False,True,,,37.604638,-119.96606000000001,True,Briceburg Fire,19.0,10/6/19,,1.0,,,e7aeb204-15af-4a2a-8f2a-bfd2c8dbe411,3.0,10
4615.0,4.0,2019,Los Angeles,19,8.0,,69.0,,-43762,,False,True,0.0,,34.472778000000005,-118.36805600000001,True,Tick Fire,509.0,10/24/19,27.0,22.0,,10.0,020310d3-7834-4f57-a125-eff0eb3f54e5,,10
2534.0,,2019,Tehama,52,2.0,,2.0,11/14/19,11,,False,True,,4.0,40.036379,-122.637837,True,Ranch Fire,69.0,11/3/19,,,,,69d98a94-4980-4dc0-b388-61c37c635f32,,11
2512.0,,2019,Yolo,57,,,,6/17/19,9,,False,True,,2.0,38.88978,-122.23921999999999,True,Sand Fire,,6/8/19,,7.0,,,1760d7f8-57a2-4a04-b7e5-0861cc0ee963,,6
1926.0,,2019,Riverside,33,0.0,1.0,1.0,9/14/19,10,,False,True,,3.0,33.528469,-117.27315700000001,True,Tenaja,35.0,9/4/19,2.0,0.0,,0.0,f68808fb-a705-4083-a136-1a45c61c7f74,1.0,9
600.0,,2019,Shasta,45,8.0,,9.0,8/26/19,4,,False,True,,3.0,40.715556,-122.24194399999999,True,Mountain Fire,187.0,8/22/19,7.0,14.0,,,1bf3e829-5fb3-43d2-9179-6c337709df19,,8
520.0,2.0,2019,Riverside,33,8.0,2.0,34.0,,-43722,,False,True,1.0,,33.4853,-117.043723,True,Horseshoe Fire ,235.0,9/14/19,,,,,c9327432-b3d3-4ea1-b810-d339dc9e25c3,3.0,9
496.0,0.0,2019,Butte,4,0.0,2.0,0.0,9/13/19,6,,False,True,0.0,,39.45296,-121.41261899999999,True,Swedes Fire,16.0,9/7/19,0.0,2.0,,,63a43984-64ce-40aa-bbc3-98330a46353f,6.0,9
350.0,,2019,Riverside,33,,,,10/13/19,3,,False,True,,,33.975405,-117.20706799999999,True,Reche Fire,,10/10/19,1.0,1.0,,,8739a46c-9d9b-464c-87d0-31738601d96f,,10
